PS GUID, Mintvine Member ID
8187A620-36C8-46A5-BF21-5C60A88C15CA,1
ED6D795E-13D2-40FD-9BDD-DC0777B67773,100006
48E64B03-6211-4528-9786-C93747EC815A,100022
FD350A3F-37A4-4CCD-8D88-477FDD256232,100031
01FB9F68-9D0A-4096-811E-1966F982F5D9,100051
3D818B21-CBC6-420B-93F3-A3D5F5D7F395,100060
A6679765-6CA3-446A-87ED-AF87ED57DF6A,100069
1F9EDCB2-DA20-4A79-876B-E6DB8C8DD942,100072
75722FB1-B1BE-459A-8B1D-4CB18AE1B6D0,100073
CF0E03A1-FA3F-438B-AC7A-0B54ED6BE51D,100124
4EF0E33A-54CE-4486-8A2F-403CA2020354,100125
56EE02D5-2994-4DA3-BC17-085CF6317BA7,100143
E9B137C6-5F6A-4630-8BA7-BFE47734DD88,100158
EE89571D-F489-44BA-8778-74A9CC3B5A7B,100197
5932CFFA-E15A-49E8-8409-1E4F9F571204,100216
77C6F153-C730-4E4B-BEDB-AC6A3AC6494C,100220
4496336F-E1C7-4F57-89D1-8D5F79C56B8F,100223
BFAFF57A-EB20-48E6-8901-6AD688317102,100418
904B69B4-65B3-466D-B3B7-7676E440CB94,100782
DEB0CA64-F178-4C4C-B108-D7DD486F596C,100799
F166607B-F947-4EF8-B4E8-777325C3463C,100803
7788547E-F552-428D-AA0E-83013D32E0B5,100807
9906D8F8-6D61-47E2-AED0-FA4C2C79261A,100827
DFD84B37-75DD-489A-8F5F-AD7E9F2C1E40,100828
A31C1E82-1FE9-4F42-83A6-CFE95BFF86F3,100859
32CE49F2-730D-4766-8A06-7C05A2209910,100874
551B6EE5-721D-46D8-B4FB-F02B51E9621B,100887
07A56437-1EAA-465C-8AAA-8547B3EDC43B,10091
68CC72FA-72EF-49C0-B502-350EEF629D71,100930
998A56A3-2F54-43CD-8801-E78CAF855AC7,100948
755638F0-494C-4CA9-B895-730E20E61A2A,100987
46B908BC-CA72-4F23-88DA-9B111874BDB9,101001
56E0E52D-3B19-4857-B9D0-9D6BA03F7EE1,101038
854726B7-E08E-432E-AD66-B116814527FE,101050
417F7339-B8C0-4605-B6A0-07604933EB52,101053
5A3094B9-B3F0-4757-8C41-9F321950B9D3,101057
AD4D2A67-DB1F-40D5-9747-7D4446D7A552,101064
EF43B739-1ADC-4B41-83DE-14F8425E62A7,101070
135B7A4B-C005-40A9-9F42-0872DE74329B,101100
F49B995E-03DE-4FA5-A1FA-C1B77661890C,101139
F3C722E9-769D-455B-87C6-90590642F148,101157
9D2ACCD1-6F92-42DD-9543-1A116A8A824A,1013
F96C245C-6784-4873-AE4A-D61202F79119,101321
AA423C5E-C59C-49C7-BAC3-CB28709EF5E8,101332
07FA2DAD-C0C5-4F1C-8528-2FC733FAB2AF,101379
63DDB844-58DD-413E-A3E1-6AA11E136818,101407
C13C1A5F-A489-417E-8D4E-F1997CF475D4,101533
E4DD7CD8-2006-4F32-B1E1-28E17E3FA93C,101540
FB90B2A4-3C2B-481B-81D8-BCFECC6B2511,10162
ABFA042A-C551-4B9E-A6C6-EE0CB1BCB8A7,101680
9686BD1D-49C2-4109-8917-3956366D917F,101686
9F92BF95-EF21-4603-BB88-9B12DDBC6ADF,101699
FC0DE1AC-19A0-4857-9C88-2D67884589C1,101710
58D54C25-2EEC-4FAE-9D6A-A00ECAD472F9,101727
CBDF9197-08B7-4E0D-BC8A-72E5DB6C5B42,101739
98E67F67-C679-49F4-ABC4-3D7613E0F369,10174
659C281F-0DE1-4489-8ECA-F7309BD2F5A9,101759
187E3C74-9629-4FC7-96EE-B9274633736F,101762
4E95F6BC-1E6C-4A81-BF47-090D1EB7C9C7,1018
477CB5E4-FE26-43A9-B4DF-D23D0CAF35E4,101827
93E817C5-277F-4322-A21E-2F1DB6CBEA0C,101828
317766A7-FCCC-440E-B218-350A07364003,101924
62F0925A-F331-493D-842A-DBAD5A11D99F,101929
05745C3E-2081-440E-BD30-AA7D7CC01FA5,101937
25F47978-B1C1-4E2C-9F7D-4ED48515127D,101950
3F3926A9-4CE3-4DE8-910D-1F238EEB21E3,101995
AD98BA9A-7487-42D7-819C-E0114EFCB6BC,102009
38A57322-A3B4-4AED-8CF1-E21855591A31,10213
F80410D7-8669-4754-9CC3-32C90A474081,102197
FF0C40DE-A68B-4D0F-BF3E-1C17F814386D,102215
47FC9072-E658-4D50-8314-E922FCAD7415,102227
2544E4F8-42CB-42AD-A6A5-9CC299AB9760,102314
5D6D8902-894F-49DA-B24C-70D3D834824E,102458
36EB0D83-9E3B-4D0E-AE1E-2177C1911AD1,102531
63F141AB-FAFB-4D0E-87DF-345A8827C227,102584
DBAB8C92-A212-4C65-986C-B89001C8AF55,102646
751AE3C1-4BF2-4363-87D8-650F76287EED,102677
57DFA163-EBAA-45E5-9946-C5395A3B33DA,102693
5C629518-4256-4343-9B77-40499821B4C7,102710
915D4166-64E2-4F28-8D8E-2727DAB33559,102711
2919736F-1DE2-4381-BD23-64921F2EBE3C,102806
57738F5A-6EEB-4F03-B3C2-C2565514D47F,102890
CB1DD35F-BF6C-466A-A14A-D7D8B8120C49,102915
4B02554C-DE31-4AEA-AB58-811F8C224F0D,102927
